ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	test
1553077_at	1.02E-45	1.82E-47	22.35945287	97.55059077	3.730139629	SDR9C7	"short chain dehydrogenase/reductase family 9C, member 7"	TRUE
204290_s_at	1.04E-45	1.86E-47	22.35487092	97.52857737	2.367116835	ALDH6A1	aldehyde dehydrogenase 6 family member A1	TRUE
204039_at	1.18E-45	2.12E-47	22.3276908	97.39794029	3.625165528	CEBPA	CCAAT/enhancer binding protein alpha	TRUE
203294_s_at	1.18E-45	2.13E-47	22.32712263	97.39520846	2.590983932	LMAN1	"lectin, mannose binding 1"	TRUE
209576_at	1.29E-45	2.32E-47	22.30891999	97.30766755	3.174336927	GNAI1	G protein subunit alpha i1	TRUE
205623_at	1.36E-45	2.46E-47	22.29678802	97.24929902	2.701663485	ALDH3A1	aldehyde dehydrogenase 3 family member A1	TRUE
211657_at	1.36E-45	2.46E-47	22.29704484	97.25053479	3.939937269	CEACAM6	carcinoembryonic antigen related cell adhesion molecule 6	TRUE
209604_s_at	1.45E-45	2.64E-47	22.28217126	97.17895147	5.20712993	GATA3	GATA binding protein 3	TRUE
205824_at	1.56E-45	2.84E-47	22.26710891	97.10643153	2.610242328	HSPB2	heat shock protein family B (small) member 2	TRUE
1554029_a_at	1.72E-45	3.15E-47	22.2457536	97.00356473	2.346219531	TTC37	tetratricopeptide repeat domain 37	TRUE
205203_at	1.75E-45	3.20E-47	22.24202254	96.98558666	2.383460905	PLD1	phospholipase D1	TRUE
206125_s_at	1.81E-45	3.32E-47	22.23431696	96.94845196	4.695898367	KLK8	kallikrein related peptidase 8	TRUE
1553982_a_at	1.89E-45	3.48E-47	22.22471169	96.90215188	2.698802351	RAB7B	"RAB7B, member RAS oncogene family"	TRUE
208156_x_at	1.94E-45	3.57E-47	22.2195396	96.87721619	2.519859949	EPPK1	epiplakin 1	TRUE
204938_s_at	1.99E-45	3.68E-47	22.21298836	96.8456266	3.121582753	PLN	phospholamban	TRUE
213247_at	2.00E-45	3.70E-47	22.21207145	96.84120488	3.523027746	SVEP1	"sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1"	TRUE
205709_s_at	2.02E-45	3.74E-47	22.20966104	96.82958046	2.881223099	CDS1	CDP-diacylglycerol synthase 1	TRUE
213805_at	2.04E-45	3.79E-47	22.20739606	96.8186567	3.639962899	ABHD5	abhydrolase domain containing 5	TRUE
205991_s_at	2.22E-45	4.14E-47	22.18906996	96.73024825	2.926004688	PRRX1	paired related homeobox 1	TRUE
212741_at	2.27E-45	4.24E-47	22.18381515	96.7048904	3.674222915	MAOA	monoamine oxidase A	TRUE
209792_s_at	2.55E-45	4.77E-47	22.15956707	96.58783295	4.316429714	KLK10	kallikrein related peptidase 10	TRUE
1555419_a_at	2.68E-45	5.04E-47	22.14826674	96.53325559	3.246232635	ASAH1	N-acylsphingosine amidohydrolase 1	TRUE
209462_at	2.76E-45	5.19E-47	-22.14189224	96.50246153	-2.929575859	APLP1	amyloid beta precursor like protein 1	TRUE
205185_at	2.96E-45	5.58E-47	22.12698093	96.43040787	5.872146479	SPINK5	"serine peptidase inhibitor, Kazal type 5"	TRUE
1554018_at	2.97E-45	5.61E-47	22.12601342	96.4257318	3.862056966	GPNMB	glycoprotein nmb	TRUE
213245_at	3.05E-45	5.77E-47	-22.12016416	96.397459	-4.602039594	ADCY1	adenylate cyclase 1	TRUE
205842_s_at	3.22E-45	6.11E-47	22.10826379	96.3399246	3.070507542	JAK2	Janus kinase 2	TRUE
210479_s_at	3.24E-45	6.17E-47	22.1063141	96.33049681	4.387006459	RORA	RAR related orphan receptor A	TRUE
204881_s_at	3.35E-45	6.39E-47	22.09910944	96.29565424	3.043049672	UGCG	UDP-glucose ceramide glucosyltransferase	TRUE
207275_s_at	3.66E-45	6.98E-47	22.08072105	96.2066965	3.608529254	ACSL1	acyl-CoA synthetase long-chain family member 1	TRUE
202222_s_at	3.74E-45	7.16E-47	22.07546611	96.18126688	3.053871237	DES	desmin	TRUE
209347_s_at	3.76E-45	7.21E-47	22.07414908	96.17489298	2.768888041	MAF	MAF bZIP transcription factor	TRUE
208791_at	3.84E-45	7.38E-47	22.06913288	96.15061456	3.880019042	CLU	clusterin	TRUE
208351_s_at	4.06E-45	7.83E-47	22.05703426	96.09204434	2.748565328	MAPK1	mitogen-activated protein kinase 1	TRUE
208998_at	4.14E-45	8.01E-47	-22.05217131	96.06849732	-2.449124729	UCP2	uncoupling protein 2	TRUE
1555460_a_at	4.14E-45	8.00E-47	22.05250269	96.07010202	2.68512781	SLC39A6	solute carrier family 39 member 6	TRUE
202580_x_at	4.39E-45	8.51E-47	-22.03972378	96.0082113	-3.018838085	FOXM1	forkhead box M1	TRUE
205759_s_at	5.74E-45	1.12E-46	21.98371195	95.73669427	2.9053552	SULT2B1	sulfotransferase family 2B member 1	TRUE
1552502_s_at	6.52E-45	1.27E-46	21.9568262	95.60622621	2.907606036	RHBDL2	rhomboid like 2	TRUE
209443_at	7.08E-45	1.38E-46	21.9394918	95.5220598	2.561643295	SERPINA5	serpin family A member 5	TRUE
210096_at	7.09E-45	1.39E-46	21.93879652	95.51868312	3.730274116	CYP4B1	cytochrome P450 family 4 subfamily B member 1	TRUE
200920_s_at	7.10E-45	1.40E-46	21.9374828	95.51230276	2.103174561	BTG1	BTG anti-proliferation factor 1	TRUE
1557370_s_at	7.10E-45	1.40E-46	21.9375919	95.51283266	2.386294029	MYCBP2	"MYC binding protein 2, E3 ubiquitin protein ligase"	TRUE
201777_s_at	7.32E-45	1.44E-46	21.9308495	95.48008346	2.464505836	EFCAB14	EF-hand calcium binding domain 14	TRUE
205220_at	8.66E-45	1.71E-46	21.89590343	95.31025205	4.063066945	HCAR3	hydroxycarboxylic acid receptor 3	TRUE
214020_x_at	9.16E-45	1.81E-46	21.88386349	95.25170469	2.377267032	ITGB5	integrin subunit beta 5	TRUE
213956_at	9.25E-45	1.84E-46	21.88134959	95.23947792	3.011951905	CEP350	centrosomal protein 350	TRUE
213524_s_at	9.43E-45	1.87E-46	21.8771116	95.21886394	3.570441376	G0S2	G0/G1 switch 2	TRUE
1553977_a_at	9.80E-45	1.95E-46	21.86876548	95.178261	2.687830306	CYP39A1	cytochrome P450 family 39 subfamily A member 1	TRUE
209309_at	1.01E-44	2.02E-46	21.86198827	95.14528423	6.226922725	AZGP1	"alpha-2-glycoprotein 1, zinc-binding"	TRUE
1554464_a_at	1.15E-44	2.29E-46	21.8355071	95.01637604	3.541868433	CRTAP	cartilage associated protein	TRUE
201842_s_at	1.15E-44	2.31E-46	21.83429475	95.0104723	4.825164333	EFEMP1	EGF containing fibulin like extracellular matrix protein 1	TRUE
205832_at	1.19E-44	2.38E-46	21.82774385	94.97856846	2.422703509	CPA4	carboxypeptidase A4	TRUE
213421_x_at	1.20E-44	2.41E-46	21.82554175	94.96784272	3.458214386	PRSS3	"protease, serine 3"	TRUE
204591_at	1.41E-44	2.85E-46	21.79080547	94.7985724	3.598506122	CHL1	cell adhesion molecule L1 like	TRUE
212814_at	1.59E-44	3.22E-46	21.76610719	94.67812516	2.576513696	AHCYL2	adenosylhomocysteinase like 2	TRUE
211607_x_at	1.71E-44	3.47E-46	21.75052787	94.60210943	2.258390732	EGFR	epidermal growth factor receptor	TRUE
204941_s_at	1.71E-44	3.49E-46	21.74971076	94.59812166	3.90612503	ALDH3B2	aldehyde dehydrogenase 3 family member B2	TRUE
204725_s_at	1.81E-44	3.69E-46	21.73795462	94.54073883	2.591347907	NCK1	NCK adaptor protein 1	TRUE
207704_s_at	1.96E-44	4.01E-46	21.72108113	94.45834737	3.129255	GAS7	growth arrest specific 7	TRUE
1566324_a_at	2.23E-44	4.57E-46	21.69442709	94.32812566	3.114158095	MAF	MAF bZIP transcription factor	TRUE
204952_at	2.52E-44	5.18E-46	21.66851216	94.20142923	4.040062306	LYPD3	LY6/PLAUR domain containing 3	TRUE
202191_s_at	2.66E-44	5.48E-46	21.65696862	94.14496645	3.205965026	GAS7	growth arrest specific 7	TRUE
206873_at	2.72E-44	5.62E-46	21.65186028	94.11997475	5.433061787	CA6	carbonic anhydrase 6	TRUE
200787_s_at	2.75E-44	5.70E-46	21.64918154	94.10686812	2.840787392	PEA15	phosphoprotein enriched in astrocytes 15	TRUE
202488_s_at	2.81E-44	5.83E-46	21.64437885	94.08336713	3.144308097	FXYD3	FXYD domain containing ion transport regulator 3	TRUE
209209_s_at	2.89E-44	6.00E-46	21.63849446	94.0545691	3.326533061	FERMT2	fermitin family member 2	TRUE
204393_s_at	3.24E-44	6.76E-46	21.61427146	93.93597659	3.906258377	ACPP	"acid phosphatase, prostate"	TRUE
201552_at	3.29E-44	6.86E-46	21.61109178	93.92040383	2.435841203	LAMP1	lysosomal associated membrane protein 1	TRUE
1558733_at	3.34E-44	6.99E-46	21.60723441	93.90151029	2.180425448	ZBTB38	zinc finger and BTB domain containing 38	TRUE
201009_s_at	3.48E-44	7.30E-46	21.59848036	93.85862573	2.823131238	TXNIP	thioredoxin interacting protein	TRUE
200644_at	3.63E-44	7.62E-46	-21.58980165	93.81610073	-2.254482706	MARCKSL1	MARCKS like 1	TRUE
204855_at	3.98E-44	8.37E-46	21.57064983	93.7222247	5.790932719	SERPINB5	serpin family B member 5	TRUE
211536_x_at	4.04E-44	8.52E-46	21.56696168	93.70414128	2.119185826	MAP3K7	mitogen-activated protein kinase kinase kinase 7	TRUE
204685_s_at	4.10E-44	8.66E-46	-21.56354732	93.68739879	-2.970835397	ATP2B2	ATPase plasma membrane Ca2+ transporting 2	TRUE
207067_s_at	4.11E-44	8.71E-46	21.56255268	93.68252121	2.233576243	HDC	histidine decarboxylase	TRUE
210258_at	4.92E-44	1.04E-45	21.52570585	93.50174251	3.196621819	RGS13	regulator of G-protein signaling 13	TRUE
214265_at	5.99E-44	1.28E-45	21.48431332	93.29845756	3.340247142	ITGA8	integrin subunit alpha 8	TRUE
212698_s_at	6.01E-44	1.28E-45	21.48325005	93.29323284	4.320060248	10-Sep	septin 10	TRUE
201753_s_at	6.04E-44	1.29E-45	21.48185877	93.28639611	2.717317087	ADD3	adducin 3	TRUE
201988_s_at	6.41E-44	1.38E-45	21.46939527	93.22513983	2.290896652	CREBL2	cAMP responsive element binding protein like 2	TRUE
1553764_a_at	6.55E-44	1.41E-45	21.46459651	93.20154938	2.916118455	AJUBA	ajuba LIM protein	TRUE
208454_s_at	6.86E-44	1.48E-45	21.45477081	93.15323773	2.893109478	CPQ	carboxypeptidase Q	TRUE
206034_at	8.19E-44	1.77E-45	21.41848494	92.9747195	3.329532582	SERPINB8	serpin family B member 8	TRUE
201790_s_at	8.67E-44	1.87E-45	21.40640945	92.91527401	2.985377916	DHCR7	7-dehydrocholesterol reductase	TRUE
201776_s_at	9.68E-44	2.10E-45	21.38374441	92.80364836	2.423374954	EFCAB14	EF-hand calcium binding domain 14	TRUE
209203_s_at	1.03E-43	2.24E-45	21.3700129	92.73598891	3.132071937	BICD2	BICD cargo adaptor 2	TRUE
206465_at	1.07E-43	2.32E-45	21.36343573	92.70357273	5.00781797	ACSBG1	acyl-CoA synthetase bubblegum family member 1	TRUE
205174_s_at	1.07E-43	2.34E-45	21.36160237	92.69453583	3.297568223	QPCT	glutaminyl-peptide cyclotransferase	TRUE
206271_at	1.08E-43	2.35E-45	21.36035902	92.688407	2.332029812	TLR3	toll like receptor 3	TRUE
212647_at	1.13E-43	2.48E-45	21.34981628	92.63643063	2.501257435	RRAS	related RAS viral (r-ras) oncogene homolog	TRUE
1552487_a_at	1.21E-43	2.65E-45	21.33623427	92.56944976	3.206411809	BNC1	basonuclin 1	TRUE
204312_x_at	1.21E-43	2.66E-45	21.33525544	92.56462171	2.329719519	CREB1	cAMP responsive element binding protein 1	TRUE
206630_at	1.30E-43	2.86E-45	21.32083581	92.49348278	2.582654915	TYR	tyrosinase	TRUE
201169_s_at	1.34E-43	2.95E-45	21.31465661	92.46298979	2.895730954	BHLHE40	basic helix-loop-helix family member e40	TRUE
1556629_a_at	1.44E-43	3.18E-45	-21.29946303	92.38799238	-3.508490734	SNAP25	synaptosome associated protein 25	TRUE
200783_s_at	1.47E-43	3.26E-45	-21.29441883	92.36308712	-2.588060673	STMN1	stathmin 1	TRUE
201302_at	1.58E-43	3.51E-45	21.27938271	92.28882863	3.640313306	ANXA4	annexin A4	TRUE
213820_s_at	1.64E-43	3.64E-45	21.2715707	92.25023635	2.969201899	STARD5	StAR related lipid transfer domain containing 5	TRUE
204501_at	1.77E-43	3.95E-45	21.25530947	92.16987928	3.457840763	NOV	nephroblastoma overexpressed	TRUE
206693_at	1.82E-43	4.05E-45	21.25014211	92.14433702	3.055434198	IL7	interleukin 7	TRUE
203126_at	1.87E-43	4.18E-45	21.24397039	92.11382588	3.865838031	IMPA2	inositol monophosphatase 2	TRUE
209542_x_at	2.03E-43	4.55E-45	21.22667195	92.02828177	2.690025825	IGF1	insulin like growth factor 1	TRUE
203553_s_at	2.71E-43	6.10E-45	21.16747845	91.73527234	2.534894081	MAP4K5	mitogen-activated protein kinase kinase kinase kinase 5	TRUE
205364_at	2.76E-43	6.22E-45	21.16338805	91.71500841	3.086416068	ACOX2	acyl-CoA oxidase 2	TRUE
201787_at	3.02E-43	6.82E-45	21.14505079	91.62413911	2.885004778	FBLN1	fibulin 1	TRUE
205883_at	3.12E-43	7.05E-45	21.13824999	91.59042727	3.449262562	ZBTB16	zinc finger and BTB domain containing 16	TRUE
213802_at	3.12E-43	7.07E-45	21.13765848	91.58749487	2.12522046	PRSS12	"protease, serine 12"	TRUE
200983_x_at	3.12E-43	7.08E-45	21.13737258	91.58607749	2.814174275	CD59	CD59 molecule	TRUE
211040_x_at	3.19E-43	7.27E-45	-21.13191822	91.55903522	-2.116626763	GTSE1	G2 and S-phase expressed 1	TRUE
210367_s_at	3.73E-43	8.50E-45	21.10048964	91.40314143	3.031841595	PTGES	prostaglandin E synthase	TRUE
211671_s_at	3.79E-43	8.66E-45	21.09662824	91.38397928	2.576374828	NR3C1	nuclear receptor subfamily 3 group C member 1	TRUE
202555_s_at	4.66E-43	1.07E-44	21.05419499	91.17328043	3.794519088	MYLK	myosin light chain kinase	TRUE
210299_s_at	4.68E-43	1.08E-44	21.05292848	91.16698819	3.818401583	FHL1	four and a half LIM domains 1	TRUE
207463_x_at	4.68E-43	1.08E-44	21.05250171	91.16486785	3.833721356	PRSS3	"protease, serine 3"	TRUE
210385_s_at	4.93E-43	1.14E-44	21.04181513	91.11176631	2.084106638	ERAP1	endoplasmic reticulum aminopeptidase 1	TRUE
201963_at	5.13E-43	1.19E-44	21.03333016	91.06959426	3.126586297	ACSL1	acyl-CoA synthetase long-chain family member 1	TRUE
207467_x_at	5.49E-43	1.27E-44	21.01956035	91.00113601	2.848191507	CAST	calpastatin	TRUE
210732_s_at	6.49E-43	1.51E-44	20.98485866	90.82850599	2.917249394	LGALS8	galectin 8	TRUE
205383_s_at	6.71E-43	1.57E-44	20.97756515	90.79220366	2.141251376	ZBTB20	zinc finger and BTB domain containing 20	TRUE
1554747_a_at	6.88E-43	1.61E-44	20.97231429	90.76606415	2.328625211	2-Sep	septin 2	TRUE
206170_at	6.97E-43	1.63E-44	20.96944325	90.75177025	2.988991394	ADRB2	adrenoceptor beta 2	TRUE
211732_x_at	7.02E-43	1.65E-44	20.967533	90.7422592	2.726032239	HNMT	histamine N-methyltransferase	TRUE
1558249_s_at	7.15E-43	1.68E-44	20.96350807	90.7222177	2.220049385	STX16	syntaxin 16	TRUE
201617_x_at	7.73E-43	1.82E-44	20.9474743	90.64235984	3.893420652	CALD1	caldesmon 1	TRUE
207192_at	7.78E-43	1.83E-44	20.9458072	90.63405481	2.641977545	DNASE1L2	deoxyribonuclease 1 like 2	TRUE
202662_s_at	8.23E-43	1.94E-44	20.93420124	90.57622735	3.254850217	ITPR2	"inositol 1,4,5-trisphosphate receptor type 2"	TRUE
202551_s_at	8.54E-43	2.02E-44	20.92640922	90.53739353	3.743783918	LOC101929500///CRIM1	uncharacterized LOC101929500///cysteine rich transmembrane BMP regulator 1	TRUE
212838_at	1.10E-42	2.61E-44	20.87513689	90.28167085	2.436085873	DNMBP	dynamin binding protein	TRUE
211367_s_at	1.29E-42	3.06E-44	20.84295742	90.12100434	3.126112721	CASP1	caspase 1	TRUE
1555854_at	1.33E-42	3.16E-44	20.83661322	90.08931333	2.961105948	LOC101930400///AKR1C2///AKR1C1	"aldo-keto reductase family 1 member C2-like///aldo-keto reductase family 1, member C2///aldo-keto reductase family 1 member C1"	TRUE
204989_s_at	1.36E-42	3.24E-44	20.83159799	90.0642573	2.665351443	ITGB4	integrin subunit beta 4	TRUE
210830_s_at	1.42E-42	3.38E-44	20.82291808	90.02088503	3.225249959	PON2	paraoxonase 2	TRUE
205891_at	1.44E-42	3.43E-44	20.82012188	90.0069108	2.737252214	ADORA2B	adenosine A2b receptor	TRUE
206643_at	1.46E-42	3.49E-44	20.81663388	89.98947786	4.946590976	HAL	histidine ammonia-lyase	TRUE
211896_s_at	1.51E-42	3.62E-44	20.80924882	89.95256234	5.1035652	DCN	decorin	TRUE
201383_s_at	1.52E-42	3.66E-44	20.80733097	89.94297453	2.555125	NBR1	"NBR1, autophagy cargo receptor"	TRUE
205751_at	1.59E-42	3.82E-44	-20.79879637	89.90030215	-3.186014189	SH3GL2	"SH3 domain containing GRB2 like 2, endophilin A1"	TRUE
207911_s_at	1.59E-42	3.83E-44	20.79822453	89.89744266	2.57270277	TGM5	transglutaminase 5	TRUE
1564053_a_at	1.80E-42	4.35E-44	20.77273635	89.76994684	2.492736797	YTHDF3	YTH N6-methyladenosine RNA binding protein 3	TRUE
207431_s_at	1.81E-42	4.39E-44	20.77070327	89.75977351	3.380724417	DEGS1	"delta 4-desaturase, sphingolipid 1"	TRUE
207175_at	1.86E-42	4.52E-44	20.76493846	89.73092411	4.570587535	ADIPOQ	"adiponectin, C1Q and collagen domain containing"	TRUE
1558279_a_at	2.11E-42	5.13E-44	20.73982405	89.6051925	2.553609812	KDSR	3-ketodihydrosphingosine reductase	TRUE
201161_s_at	2.15E-42	5.25E-44	20.73531747	89.58262254	4.073553782	YBX3	Y-box binding protein 3	TRUE
211676_s_at	2.18E-42	5.33E-44	20.73228129	89.56741516	3.217761418	IFNGR1	interferon gamma receptor 1	TRUE
201525_at	2.26E-42	5.54E-44	20.72428808	89.52737389	5.404158683	APOD	apolipoprotein D	TRUE
206714_at	2.29E-42	5.62E-44	20.72159697	89.51389122	4.758058655	ALOX15B	"arachidonate 15-lipoxygenase, type B"	TRUE
208153_s_at	2.36E-42	5.79E-44	20.71548098	89.48324615	3.560363339	FAT2	FAT atypical cadherin 2	TRUE
204641_at	2.41E-42	5.93E-44	-20.71097045	89.46064243	-3.154091155	NEK2	NIMA related kinase 2	TRUE
202728_s_at	2.46E-42	6.05E-44	20.70667002	89.43908919	2.746836924	LTBP1	latent transforming growth factor beta binding protein 1	TRUE
203324_s_at	2.82E-42	6.97E-44	20.67868176	89.2987581	4.030619216	CAV2	caveolin 2	TRUE
210139_s_at	2.99E-42	7.38E-44	20.66707322	89.24052452	3.763021224	PMP22	peripheral myelin protein 22	TRUE
1552620_at	3.03E-42	7.49E-44	20.66417952	89.22600582	3.837342951	SPRR4	small proline rich protein 4	TRUE
202889_x_at	3.28E-42	8.13E-44	20.64781849	89.14389663	2.523803411	MAP7	microtubule associated protein 7	TRUE
203293_s_at	3.30E-42	8.19E-44	20.64638843	89.13671812	2.717652609	LMAN1	"lectin, mannose binding 1"	TRUE
1569796_s_at	3.34E-42	8.30E-44	-20.6437097	89.12327098	-2.323741425	ATRNL1	attractin like 1	TRUE
204318_s_at	3.82E-42	9.54E-44	-20.61597161	88.98397303	-3.542125637	GTSE1	G2 and S-phase expressed 1	TRUE
202053_s_at	3.82E-42	9.55E-44	20.61582011	88.98321193	3.098309834	ALDH3A2	aldehyde dehydrogenase 3 family member A2	TRUE
203131_at	3.82E-42	9.54E-44	20.61598487	88.98403964	4.234879198	PDGFRA	platelet derived growth factor receptor alpha	TRUE
214544_s_at	3.92E-42	9.82E-44	20.61018187	88.95488518	3.126511559	SNAP23	synaptosome associated protein 23	TRUE
208983_s_at	4.12E-42	1.04E-43	20.59975012	88.90246504	2.81588999	PECAM1	platelet and endothelial cell adhesion molecule 1	TRUE
210815_s_at	4.66E-42	1.17E-43	20.57477069	88.77688577	2.302878484	CALCRL	calcitonin receptor like receptor	TRUE
202035_s_at	4.66E-42	1.18E-43	20.5745168	88.77560895	2.557821676	SFRP1	secreted frizzled related protein 1	TRUE
213900_at	4.80E-42	1.21E-43	20.56848925	88.74529458	2.691208635	FAM189A2	family with sequence similarity 189 member A2	TRUE
210297_s_at	4.89E-42	1.24E-43	20.56438952	88.72467316	3.83241084	MSMB	microseminoprotein beta	TRUE
206050_s_at	4.99E-42	1.27E-43	20.5598428	88.70180086	2.415626484	RNH1	ribonuclease/angiogenin inhibitor 1	TRUE
204607_at	5.15E-42	1.31E-43	20.5532127	88.66844347	3.731404295	HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2	TRUE
213056_at	5.21E-42	1.32E-43	20.5508613	88.65661173	3.664345716	FRMD4B	FERM domain containing 4B	TRUE
211852_s_at	5.46E-42	1.39E-43	20.54121098	88.60804608	2.311146958	ATRN	attractin	TRUE
212920_at	5.51E-42	1.41E-43	20.53878727	88.59584682	3.23475978	REST	RE1 silencing transcription factor	TRUE
205097_at	5.51E-42	1.41E-43	20.53853979	88.59460114	3.585158529	SLC26A2	solute carrier family 26 member 2	TRUE
1557167_at	5.63E-42	1.44E-43	20.53378708	88.57067699	2.031657893	HCG11	HLA complex group 11 (non-protein coding)	TRUE
201616_s_at	5.63E-42	1.44E-43	20.53349538	88.56920853	3.862980926	CALD1	caldesmon 1	TRUE
202731_at	6.18E-42	1.59E-43	20.5142755	88.47242964	3.672732878	MIR4680///PDCD4	microRNA 4680///programmed cell death 4 (neoplastic transformation inhibitor)	TRUE
1553583_a_at	6.18E-42	1.59E-43	20.51446952	88.47340682	3.98892244	THRSP	thyroid hormone responsive	TRUE
212459_x_at	6.27E-42	1.62E-43	20.51106904	88.45627942	2.63628738	SUCLG2	succinate-CoA ligase GDP-forming beta subunit	TRUE
204963_at	6.44E-42	1.67E-43	20.50525514	88.42699279	2.921887467	SSPN	sarcospan	TRUE
208079_s_at	7.44E-42	1.92E-43	-20.47648126	88.28198551	-3.050517953	AURKA	aurora kinase A	TRUE
200984_s_at	8.11E-42	2.10E-43	20.45901015	88.19388777	2.64759281	CD59	CD59 molecule	TRUE
211834_s_at	8.29E-42	2.15E-43	20.45427586	88.17000851	2.931533475	TP63	tumor protein p63	TRUE
209512_at	8.35E-42	2.17E-43	20.45253881	88.16124631	2.602252954	HSDL2	hydroxysteroid dehydrogenase like 2	TRUE
211317_s_at	8.35E-42	2.18E-43	20.45219566	88.1595153	2.720680622	CFLAR	CASP8 and FADD like apoptosis regulator	TRUE
212538_at	9.71E-42	2.54E-43	20.42164202	88.00532951	2.926119296	DOCK9	dedicator of cytokinesis 9	TRUE
205287_s_at	1.00E-41	2.62E-43	20.41515233	87.97256469	3.21608615	TFAP2C	transcription factor AP-2 gamma	TRUE
214313_s_at	1.02E-41	2.66E-43	-20.41200837	87.9566897	-2.281920072	EIF5B	eukaryotic translation initiation factor 5B	TRUE
206030_at	1.23E-41	3.22E-43	20.37460809	87.76774591	2.833735781	ASPA	aspartoacylase	TRUE
214257_s_at	1.43E-41	3.76E-43	20.34384507	87.61219998	2.609523181	SEC22B	"SEC22 homolog B, vesicle trafficking protein (gene/pseudogene)"	TRUE
204011_at	1.44E-41	3.80E-43	20.34160947	87.60089149	2.700545979	SPRY2	sprouty RTK signaling antagonist 2	TRUE
205016_at	1.47E-41	3.87E-43	20.33810152	87.58314576	2.585573151	TGFA	transforming growth factor alpha	TRUE
1554966_a_at	1.48E-41	3.90E-43	20.3367116	87.57611406	3.120871164	FILIP1L	filamin A interacting protein 1 like	TRUE
213236_at	1.49E-41	3.93E-43	20.33487747	87.5668348	2.712608584	SASH1	SAM and SH3 domain containing 1	TRUE
212291_at	1.50E-41	3.98E-43	20.33235314	87.55406287	3.2016162	HIPK1	homeodomain interacting protein kinase 1	TRUE
1569106_s_at	1.65E-41	4.39E-43	20.31318642	87.45706214	2.318369721	SETD5	SET domain containing 5	TRUE
204718_at	1.66E-41	4.41E-43	20.31226826	87.45241426	3.268029124	EPHB6	EPH receptor B6	TRUE
212875_s_at	1.68E-41	4.49E-43	20.30892831	87.43550598	2.817093069	C2CD2	C2 calcium dependent domain containing 2	TRUE
200796_s_at	1.71E-41	4.56E-43	20.30586997	87.42002207	2.470718317	MCL1	BCL2 family apoptosis regulator	TRUE
201313_at	1.77E-41	4.73E-43	-20.29846441	87.38252392	-3.236107784	ENO2	enolase 2	TRUE
210085_s_at	1.78E-41	4.77E-43	20.29672646	87.37372275	2.947963446	ANXA9	annexin A9	TRUE
200641_s_at	2.12E-41	5.69E-43	20.2618841	87.19719688	2.682497873	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta	TRUE
212586_at	2.13E-41	5.73E-43	20.26073091	87.19135167	3.048972041	CAST	calpastatin	TRUE
204864_s_at	2.17E-41	5.84E-43	20.25681896	87.17152195	2.355001458	IL6ST	interleukin 6 signal transducer	TRUE
202888_s_at	2.24E-41	6.03E-43	20.25041974	87.13907991	3.175424395	ANPEP	"alanyl aminopeptidase, membrane"	TRUE
211862_x_at	2.29E-41	6.19E-43	20.24531816	87.11321285	2.222822459	CFLAR	CASP8 and FADD like apoptosis regulator	TRUE
211084_x_at	2.29E-41	6.20E-43	20.24495604	87.11137663	2.07657657	PRKD3	protein kinase D3	TRUE
200770_s_at	2.39E-41	6.47E-43	20.23667998	87.06940619	2.747021836	LAMC1	laminin subunit gamma 1	TRUE
204463_s_at	2.45E-41	6.64E-43	20.23150417	87.04315367	3.101651401	EDNRA	endothelin receptor type A	TRUE
201425_at	2.54E-41	6.90E-43	20.22397354	87.00495101	3.557917677	ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)	TRUE
206562_s_at	2.65E-41	7.21E-43	20.21523107	86.96059171	2.166075464	CSNK1A1	casein kinase 1 alpha 1	TRUE
212412_at	2.70E-41	7.36E-43	20.21115429	86.93990284	2.448373604	PDLIM5	PDZ and LIM domain 5	TRUE
205014_at	2.72E-41	7.44E-43	20.20915229	86.92974227	3.588710681	FGFBP1	fibroblast growth factor binding protein 1	TRUE
1556034_s_at	2.80E-41	7.68E-43	20.20294718	86.89824687	2.305297084	MTMR11	myotubularin related protein 11	TRUE
205168_at	2.86E-41	7.85E-43	20.19861662	86.87626325	2.936616454	DDR2	discoidin domain receptor tyrosine kinase 2	TRUE
209750_at	2.88E-41	7.90E-43	20.19721764	86.86916098	3.614713096	NR1D2	nuclear receptor subfamily 1 group D member 2	TRUE
1557169_x_at	3.09E-41	8.53E-43	20.18202595	86.79202046	2.208842016	HCG11	HLA complex group 11 (non-protein coding)	TRUE
204767_s_at	3.48E-41	9.62E-43	-20.15843357	86.67216477	-2.416720804	FEN1	flap structure-specific endonuclease 1	TRUE
208116_s_at	3.61E-41	9.98E-43	20.1511566	86.63518153	2.519270906	MAN1A1	mannosidase alpha class 1A member 1	TRUE
1555233_at	3.64E-41	1.01E-42	20.1490506	86.62447709	2.166646856	RHOJ	ras homolog family member J	TRUE
204085_s_at	3.70E-41	1.03E-42	20.14584424	86.60817865	2.123357214	CLN5	"ceroid-lipofuscinosis, neuronal 5"	TRUE
201830_s_at	4.26E-41	1.18E-42	20.11770989	86.4651111	2.656298293	NET1	neuroepithelial cell transforming 1	TRUE
